Entry	Entry name	Cross-reference (EMBL)	Cross-reference (GenBank)	Gene names	Protein names
Q52527	NORC_PSEST	X53676;		norC	Nitric oxide reductase subunit C (NOR small subunit) (Nitric oxide reductase cytochrome c subunit)
Q59646	NORC_PSEAE	D38133;AE004091;		norC PA0523	Nitric oxide reductase subunit C (NOR small subunit) (Nitric oxide reductase cytochrome c subunit)
P98008	NORB_PSEST	X53676;		norB	Nitric oxide reductase subunit B (EC 1.7.2.5) (NOR large subunit) (Nitric oxide reductase cytochrome b subunit)
Q59647	NORB_PSEAE	D38133;AE004091;		norB PA0524	Nitric oxide reductase subunit B (EC 1.7.2.5) (NOR large subunit) (Nitric oxide reductase cytochrome b subunit)
Q51662	NORC_PARDE	U28078;AB014090;		norC	Nitric oxide reductase subunit C (NOR small subunit) (Nitric oxide reductase cytochrome c subunit)
O06844	NORC_RHOS5	AF000233;CP000661;		norC Rsph17025_0970	Nitric oxide reductase subunit C (NOR small subunit) (Nitric oxide reductase cytochrome c subunit)
O50651	NORC_HALHD	AB010889;		norC	Nitric oxide reductase subunit C (NOR small subunit) (Nitric oxide reductase cytochrome c subunit)
Q65IZ0	Q65IZ0_BACLD	CP000002;AE017333;		norB BL01473 BLi02084	Nitric oxide reductase beta subunit NorB (EC 1.7.2.5) (Nitric oxide reductase cytochrome b subunit)
Q9K4V0	NORR1_CUPNH	AJ278371;AY305378;		norR1 PHG246	Nitric oxide reductase transcription regulator NorR1
A5EDN1	A5EDN1_BRASB	CP000494;		norC BBta_2088	Nitric oxide reductase, NorC subunit apoprotein (EC 1.7.2.5)
Q576W7	Q576W7_BRUAB	AE017224;		norC BruAb2_0931	NorC, nitric-oxide reductase, small subunit
Q92Z15	Q92Z15_RHIME	AE006469;		norC SMa1276	NorC nitric oxide reductase, small subunit (EC 1.7.99.7)
P23295	NOR_FUSOX	M63340;D14517;		CYP55A1 CYP55	NADP nitrous oxide-forming nitric oxide reductase (NOR) (EC 1.7.1.14) (CYPLVA1) (Cytochrome P450 55A1) (Cytochrome P450 DNIR) (Cytochrome P450nor) (Fungal nitric oxide reductase)
Q92Z16	Q92Z16_RHIME	AE006469;		norB SMa1273	NorB nitric oxide reductase, large subunit (EC 1.7.99.7)
D3DFZ8	D3DFZ8_HYDTT	CP002221;AP011112;		norB HTH_0283 Hydth_0280	Nitric oxide reductase cytochrome b subunit (Nitric-oxide reductase) (EC 1.7.2.5)
M4MGE9	M4MGE9_SINM2	CP004138;		norC SM2011_a1276	NorC nitric oxide reductase,small subunit (EC 1.7.2.5)
Q3J134	Q3J134_RHOS4	CP000143;		norC RSP_0324	Nitric oxide reductase, NorC subunit apoprotein (EC 1.7.2.5)
G2J1Q9	G2J1Q9_PSEUL	AP012224;		norC NH8B_1415	Nitric-oxide reductase subunit C NorC
D3DFZ9	D3DFZ9_HYDTT	CP002221;AP011112;		norC HTH_0284 Hydth_0281	Nitric oxide reductase cytochrome c subunit (Nitric-oxide reductase subunit C)
A9QPL3	A9QPL3_METI4	EU223929;CP000975;		norC Minf_0041	Nitric-oxide reductase subunit C (Putative nitric oxide reductase C subunit)
A4YP24	A4YP24_BRASO	CU234118;		norC BRADO1776	Nitric-oxide reductase subunit C (Nitric oxide reductase cytochrome c subunit) (NOR small subunit) (EC 1.7.99.7)
A5EDN2	A5EDN2_BRASB	CP000494;		norB BBta_2089	Nitric oxide reductase, NorB subunit apoprotein (EC 1.7.2.5)
Q576W8	Q576W8_BRUAB	AE017224;		norB BruAb2_0930	NorB, nitric-oxide reductase, large subunit
B0SP10	B0SP10_LEPBP	CP000786;		norB LEPBI_I2954	Nitric-oxide reductase subunit B (Nitric oxide reductase cytochrome b subunit NOR large subunit) putative membrane protein (EC 1.7.2.5)
A4YP25	A4YP25_BRASO	CU234118;		norB BRADO1777	Nitric-oxide reductase subunit B (Nitric oxide reductase cytochrome b subunit) (NOR large subunit) (EC 1.7.99.7)
Q8FX41	Q8FX41_BRUSU	AE014292;CP002998;		norC BRA0248 BS1330_II0245	Nitric-oxide reductase, small subunit (EC 1.7.2.5)
Q9UAG7	FHBA_DICDI	AB025583;AAFI02000190;		fhbA DDB_G0292378	Flavohemoprotein A (EC 1.14.12.17) (DdFHa) (Flavohemoglobin A) (Hemoglobin-like protein A) (Nitric oxide dioxygenase A) (NO oxygenase A) (NOD A)
Q54D73	FHBB_DICDI	AB025584;AAFI02000190;		fhbB DDB_G0292380	Flavohemoprotein B (EC 1.14.12.17) (DdFHb) (Flavohemoglobin B) (Hemoglobin-like protein B) (Nitric oxide dioxygenase B) (NO oxygenase B) (NOD B)
Q03331	FHP_CANNO	X68849;			Flavohemoprotein (EC 1.14.12.17) (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD)
Q9URY5	FHP_SCHPO	CU329670;		SPAC869.02c	Flavohemoprotein (EC 1.14.12.17) (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD)
P39676	FHP_YEAST	X87941;Z73019;AY692964;AF239759;BK006941;		YHB1 YHB YGR234W G8572	Flavohemoprotein (EC 1.14.12.17) (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD)
Q97GC0	FPRA2_CLOAB	AE001437;		fprA2 CA_C2449	Flavo-diiron protein FprA2 (FDP 2) (Flavoprotein A2) (H(2)O-forming NADH oxidase) (EC 1.6.3.-) (NADH oxidase) (NADH:O(2) oxidoreductase)
Q9FDN7	FPRA_MOOTA	AF202316;CP000232;		fprA Moth_1287	Nitric oxide reductase (EC 1.-.-.-) (FMN protein FprA) (Flavoprotein A) (Type A flavoprotein FprA)
P39662	HMP_CUPNH	X74334;AY305378;		hmp fhp PHG200	Flavohemoprotein (FHP) (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD) (EC 1.14.12.17)
P24232	HMP_ECOLI	X58872;U00096;AP009048;J01620;		hmp fsrB hmpA b2552 JW2536	Flavohemoprotein (Flavohemoglobin) (HMP) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD) (EC 1.14.12.17)
Q9FDN6	HRB_MOOTA	AF202316;CP000232;		hrb Moth_1288	High molecular weight rubredoxin (Nitric oxide reductase NADH:FprA oxidoreductase)
Q51701	NIRE_PARDP	U05002;CP000489;		nirE Pden_2488	Uroporphyrinogen-III C-methyltransferase (Urogen III methylase) (EC 2.1.1.107) (SUMT) (Uroporphyrinogen III methylase) (UROM)
Q51700	NIRS_PARDP	U05002;CP000489;		nirS Pden_2487	Nitrite reductase (EC 1.7.2.1) (Cytochrome cd1) (Cytochrome oxidase) (Hydroxylamine reductase) (EC 1.7.99.1)
Q2YJT9	NORD_BRUA2	AM040265;		norD BAB2_0952	Protein NorD
Q576X0	NORD_BRUAB	AE017224;		norD BruAb2_0928	Protein NorD
Q8YBA4	NORD_BRUME	AE008918;		norD BMEII0996	Protein NorD
Q8FX38	NORD_BRUSU	AE014292;CP002998;		norD BRA0251 BS1330_II0248	Protein NorD
Q52528	NORD_PSEST	X53676;		norD	Protein NorD
Q51664	NORQ_PARDP	U28078;CP000489;		norQ Pden_2482	Protein NorQ
Q9K4U8	NORR2_CUPNH	AJ278372;AM260480;		norR2 H16_B2325	Nitric oxide reductase transcription regulator NorR2
A0KEJ0	NORR_AERHH	CP000462;		norR AHA_0118	Anaerobic nitric oxide reductase transcription regulator NorR
A4STH5	NORR_AERS4	CP000644;		norR ASA_4273	Anaerobic nitric oxide reductase transcription regulator NorR
A8ANR6	NORR_CITK8	CP000822;		norR CKO_04063	Anaerobic nitric oxide reductase transcription regulator NorR
A7ZQD8	NORR_ECO24	CP000800;		norR EcE24377A_2992	Anaerobic nitric oxide reductase transcription regulator NorR
B7UHC1	NORR_ECO27	FM180568;		norR E2348C_2966	Anaerobic nitric oxide reductase transcription regulator NorR
