Entry	Entry name	Cross-reference (EMBL)	Cross-reference (GenBank)	Gene names	Protein names
Q04507	AMOA_NITEU	L08050;AL954747;AL954747;		amoA1 amoA NE0944; amoA2 amoA NE2063	Ammonia monooxygenase, acetylene-binding (AMO) (EC 1.13.12.-)
B5LRX9	B5LRX9_9CREN	EU885647;EU885675;FJ940170;HM803767;HM803773;HM803786;JF439025;JF748203;JF748206;JF748214;JF748237;JF748249;JF748250;JF748377;JF748381;HQ843779;JQ014648;JQ698525;JQ698550;JQ698560;JQ698570;KC773886;KC801346;KC801396;KC801409;KC801422;KC801423;KC801462;KF537021;FN562509;FN562525;		amoA amoA-AOA	Ammonia monooxygenase (Ammonia monooxygenase subunit A) (AmoA) (Putative ammonia monooxygenase subunit A) (Fragment)
E2J812	E2J812_9ARCH	GU294761;HQ012641;HQ012648;HQ012650;HM637849;HM637850;JF735060;JQ403849;JQ955019;JQ955050;JQ955169;JQ955211;JQ750150;JQ750199;JQ750223;JQ750225;JQ750233;JQ750243;JQ750245;JQ750248;KF803143;KF898614;KF898618;KF898625;KF898635;KF898639;KF898646;KF898648;KF898652;KJ004996;		amoA	Ammonia monooxygenase (Ammonia monooxygenase alpha subunit) (Ammonia monooxygenase subunit A) (AmoA) (Fragment)
B3V0P4	B3V0P4_9BACT	EU625002;EU625004;EU625009;EU625014;EU625019;EU625048;EU625055;EU625111;EU625153;EU625160;EU625163;EU624775;EU624883;JF936243;JF936258;JF936262;JF936269;JF936285;JF936297;JF264781;JN787061;JQ082857;JQ990075;JQ990079;JQ865833;KC199989;KC454074;KC773931;KC967806;KC967872;KC967881;KJ497381;		amoA	Ammonia monooxygenase (Ammonia monooxygenase subunit A) (Ammonia monoxygenase) (AmoA) (Putative ammonia monooxygenase subunit A) (Fragment)
B0FEW8	B0FEW8_9BACT	EU315016;EU315017;EU315034;EU744317;EU744318;EU744321;FJ604797;FJ604798;FJ604799;GQ258511;GQ258518;GQ258523;GQ258530;GQ258559;GQ258571;FJ498912;FJ498915;FJ498922;FJ498945;FJ498954;GQ906686;JF905781;JF905828;JF905873;JF905880;JF905885;JF905887;JQ277569;JQ277601;JQ277647;JQ277649;JQ277650;JQ277657;JQ277666;JQ277669;KC756431;KC756442;KC756497;KC756506;KC756572;KC756576;KJ160451;KJ160475;FR773913;FR773925;		amoA	Ammonia monooxygenase (Ammonia monooxygenase subunit A) (Ammonia-monooxygenase) (Ammonia-oxidizing monooxygenase subunit A) (Ammonium monooxygenase) (Ammonium monooxygenase subunit A) (AmoA) (Fragment)
B3V0L6	B3V0L6_9BACT	EU624981;EU625063;EU625069;EU625077;EU625079;EU625093;EU625140;EU625155;EU625175;EU625190;EU625203;EU625206;EU624742;EU624744;EU624751;EU624757;EU624768;EU624770;EU624771;EU624772;EU624773;EU624779;EU624780;EU624781;EU624782;EU624786;EU624789;EU624794;EU624798;EU624805;EU624809;EU624812;EU624824;EU624833;EU624834;EU624835;EU624837;EU624841;EU624843;EU624849;EU624850;EU624862;EU624866;EU624868;EU624870;EU624873;EU624876;EU624879;EU624882;EU624887;EU624890;EU624892;EU624893;EU624895;EU624898;EU624900;EU624901;EU624910;EU624913;EU624914;EU624918;EU624920;EU624927;EU624929;EU624930;EU624933;EU624941;EU624942;EU624943;EU624945;EU624946;EU624947;EU624948;EU624950;EU624951;EU624956;EU624957;EU624959;EU624961;EU624965;EU624966;EU624967;EU624968;EU624969;HM113498;HQ116628;HQ116637;JF936087;JF936113;JF936354;KC662529;KC773929;KC967765;KC967767;KC967803;KC967804;KF976222;		amoA	Ammonia monooxygenase (Ammonia monooxygenase subunit A) (AmoA) (Putative ammonia monooxygenase subunit A) (Fragment)
Q56J71	Q56J71_9BACT	AY944212;AY944215;AY944216;DQ480770;DQ480788;DQ480822;DQ480868;EU275281;EU515195;EU697746;EU697750;EU697776;EU697806;FJ890543;FJ890544;FJ890547;FJ890548;FJ890549;FJ890551;FJ890554;FJ890563;FJ890568;FJ890575;FJ890582;FJ890584;FJ890588;HQ324838;HQ678226;JF735031;HQ440009;JN903163;JQ689971;JQ689972;JQ320529;JF798591;JQ750055;JQ750062;JQ750073;JQ750118;JX010845;JX010855;KC311324;KF003736;KF003740;KF618890;KF618899;KF618902;KF618908;KF618911;KF618912;KF618913;KF618920;KF618926;KF618931;KF618933;KF618937;KF618938;KF618940;KF618941;KF618943;KF618945;KF618949;KF618953;KF618958;KF618961;KF618962;KF618979;KF618991;KF618997;KF619001;KF619002;KF619013;KF619017;KF619022;KF619027;KF619037;KF619038;KF619069;KF619072;KF619082;KF619086;KF619103;KF619109;KF619112;KF619126;KF619131;KF619136;KF619138;KF619143;KF619145;KF619147;KF619166;KF619231;KF754296;KF803080;KF803101;KJ144200;KJ144204;KJ144205;KJ144213;KJ144222;KJ144224;KJ144230;KJ144232;KJ144247;KJ138225;KJ138227;KJ138229;KJ138230;KJ138232;KJ138233;KJ138234;KJ138236;KJ138237;KJ138238;KJ138240;KJ138241;KJ138242;KJ138246;KJ138247;KJ138248;KJ138250;KJ138251;KJ138254;KJ138255;KJ138257;KJ138258;KJ138259;KJ138261;KJ138262;KJ138263;KJ138264;KJ138265;KJ160448;KJ160452;KJ160456;KJ160461;KJ160464;KJ160472;KJ160476;KJ160480;KJ160485;KJ160488;KJ144657;KJ144670;KJ144681;KJ144690;KJ144701;KJ144712;KJ144729;KJ144743;KJ144754;KJ144757;KJ144759;KJ144763;KJ144765;FN423468;FN869093;FN869113;		amoA	Ammonia monooxygenase (Ammonia monooxygenase alpha subunit) (Ammonia monooxygenase subunit A) (Ammonium monooxygenase) (AmoA) (Fragment)
Q93AM6	Q93AM6_9BACT	AF420299;AY356423;AY356424;AY356425;AY356476;AY356488;AY356492;AY356509;AY356510;AY356511;AY356515;AY682815;HQ425726;HQ425767;JQ413716;JQ413747;JQ413749;JQ413756;JQ413793;JQ260740;JQ260743;AB159265;AB158732;AB158733;AB158735;AB234595;AB234596;AB678556;AB678561;FN868489;		amoA amoA-like amoaA	Ammmonia monooxygenase (Ammonia monooxygenase) (Ammonia monooxygenase subunit A) (AmoA) (Fragment)
R9XXZ9	R9XXZ9_9ARCH	KC735184;KC735188;KC735224;KC735226;KC735227;KC735229;KC735230;KC735231;KC735287;KC735291;KC735294;KC735298;KC735299;KC735330;KC735332;KC735337;KC735362;KC735363;KC735364;KC735365;KC735391;KC735410;KC735412;KC735464;KC735563;KF476733;KJ158552;		amoA	Ammonia monooxygenase (Ammonia monooxygenase subunit A) (AmoA) (Fragment)
Q0PPU3	Q0PPU3_9CREN	DQ784529;DQ784530;DQ784531;DQ784532;DQ784533;EF155620;EF155622;EF155625;EF155626;EU795426;EU795432;EU795433;EU795435;EU795436;EU795439;EU795440;EU795441;EU795444;EU795446;EU795448;EU795451;EU795454;EU795455;EU795456;EU795457;EU795458;EU795459;EU795460;GQ353409;GQ353413;GQ353414;GQ353424;HM449364;HM449378;HM449379;HM449381;HM449387;HM449390;HM449393;HM449394;HM449397;HM449402;HM449406;HM449407;		amoA	Ammonia monooxygenase subunit A (AmoA) (Putative ammonia monooxygenase subunit A) (Fragment)
