Entry	Entry name	Cross-reference (EMBL)	Cross-reference (GenBank)	Gene names	Protein names
A5N545	A5N545_CLOK5	CP000673;		anfK CKL_0372	AnfK (EC 1.18.6.1)
Q6NA06	Q6NA06_RHOPA	BX572597;		vnfK RPA1380	Nitrogenase vanadium-iron protein, VnfK subunit (EC 1.18.6.1)
C1DI23	C1DI23_AZOVD	CP001157;		vnfK Avin_02590	Vanadium nitrogenase beta subunit, vnfK
A5N906	A5N906_CLOK5	CP000673;		vnfK CKL_1745	VnfK (EC 1.18.6.1)
M9XWX4	M9XWX4_AZOVI	CP005094;		vnfK AvCA_02590	Vanadium nitrogenase beta subunit, vnfK
M9YES4	M9YES4_AZOVI	CP005095;		vnfK AvCA6_02590	Vanadium nitrogenase beta subunit, vnfK
H6LJT9	H6LJT9_ACEWD	CP002987;		anfK Awo_c06960	Iron-iron nitrogenase beta subunit AnfK (EC 1.18.6.1)
A5N544	A5N544_CLOK5	CP000673;		anfG CKL_0371	AnfG (EC 1.18.6.1)
Q57302	VNFK_ANAVT	X73824;L20472;CP000117;		vnfK Ava_4027	Nitrogenase vanadium-iron protein beta chain (EC 1.18.6.1) (Dinitrogenase 2 subunit beta) (Nitrogenase component I)
P15334	VNFK_AZOCH	X51756;X15077;		vnfK	Nitrogenase vanadium-iron protein beta chain (EC 1.18.6.1) (Dinitrogenase 2 subunit beta) (Nitrogenase component I)
P16856	VNFK_AZOVI	M32371;		vnfK	Nitrogenase vanadium-iron protein beta chain (EC 1.18.6.1) (Dinitrogenase 2 subunit beta) (Nitrogenase component I)
P16267	ANFK_AZOVI	M23528;		anfK	Nitrogenase iron-iron protein beta chain (EC 1.18.6.1) (Dinitrogenase 3 subunit beta) (Nitrogenase component I)
P15332	VNFD_AZOCH	X51756;X15077;		vnfD	Nitrogenase vanadium-iron protein alpha chain (EC 1.18.6.1) (Dinitrogenase 2 subunit alpha) (Nitrogenase component I)
P16855	VNFD_AZOVI	M32371;		vnfD	Nitrogenase vanadium-iron protein alpha chain (EC 1.18.6.1) (Dinitrogenase 2 subunit alpha) (Nitrogenase component I)
P16266	ANFD_AZOVI	M23528;		anfD	Nitrogenase iron-iron protein alpha chain (EC 1.18.6.1) (Dinitrogenase 3 subunit alpha) (Nitrogenase component I)
Q07933	ANFD_RHOCA	X70033;		anfD	Nitrogenase iron-iron protein alpha chain (EC 1.18.6.1) (Dinitrogenase 3 subunit alpha) (Nitrogenase component I)
