Entry	Entry name	Cross-reference (EMBL)	Cross-reference (GenBank)	Gene names	Protein names
Q2FYJ5	NORB_STAA8	CP000253;		norB SAOUHSC_01448	Quinolone resistance protein NorB
Q8NWQ5	NORB_STAAW	BA000033;		norB MW1325	Quinolone resistance protein NorB
A7X2C6	NORB_STAA1	AP009324;		norB SAHV_1424	Quinolone resistance protein NorB
Q2FH03	NORB_STAA3	CP000255;		norB SAUSA300_1328	Quinolone resistance protein NorB
Q2YY45	NORB_STAAB	AJ938182;		norB SAB1301c	Quinolone resistance protein NorB
A6QGY6	NORB_STAAE	AP009351;		norB NWMN_1346	Quinolone resistance protein NorB
Q5HFY7	NORB_STAAC	CP000046;		norB SACOL1475	Quinolone resistance protein NorB
Q99U52	NORB_STAAM	BA000017;		norB SAV1436	Quinolone resistance protein NorB
Q7A5M0	NORB_STAAN	BA000018;		norB SA1269	Quinolone resistance protein NorB
Q6GGX2	NORB_STAAR	BX571856;		norB SAR1448	Quinolone resistance protein NorB
Q6G9C6	NORB_STAAS	BX571857;		norB SAS1379	Quinolone resistance protein NorB
A8Z415	NORB_STAAT	CP000730;		norB USA300HOU_1373	Quinolone resistance protein NorB
Q576W7	Q576W7_BRUAB	AE017224;		norC BruAb2_0931	NorC, nitric-oxide reductase, small subunit
Q92Z15	Q92Z15_RHIME	AE006469;		norC SMa1276	NorC nitric oxide reductase, small subunit (EC 1.7.99.7)
Q16A03	Q16A03_ROSDO	CP000362;		norC RD1_1562	NorC-like protein (EC 1.7.2.5)
A5EDN1	A5EDN1_BRASB	CP000494;		norC BBta_2088	Nitric oxide reductase, NorC subunit apoprotein (EC 1.7.2.5)
A6U1Q6	NORB_STAA2	CP000736;		norB SaurJH1_1525	Quinolone resistance protein NorB
A5ISW7	NORB_STAA9	CP000703;		norB SaurJH9_1496	Quinolone resistance protein NorB
D5MGQ8	D5MGQ8_9BACT	FP565575;		norZ DAMO_1889	Nitric-oxide reductase, qNOR-like (NorZ) (EC 1.7.99.7)
G2J1Q9	G2J1Q9_PSEUL	AP012224;		norC NH8B_1415	Nitric-oxide reductase subunit C NorC
S4X2R0	S4X2R0_STAAU	CP005288;		norC SABB_01734	Quinolone resistance protein norC
G8PWM4	G8PWM4_PSEFL	CP003150;		norC1 PSF113_3758	NorC1 (EC 1.7.2.5)
G8Q9P7	G8Q9P7_PSEFL	CP003150;		norC2 PSF113_3432	NorC2
M4MGE9	M4MGE9_SINM2	CP004138;		norC SM2011_a1276	NorC nitric oxide reductase,small subunit (EC 1.7.2.5)
B4ER97	B4ER97_STRON	AM778535;		norC	Modular polyketide synthase NorC
Q3J134	Q3J134_RHOS4	CP000143;		norC RSP_0324	Nitric oxide reductase, NorC subunit apoprotein (EC 1.7.2.5)
Q2G0B1	MGRA_STAA8	AY266422;CP000253;		mgrA norR rat SAOUHSC_00694	HTH-type transcriptional regulator MgrA (Regulator of autolytic activity)
Q59647	NORB_PSEAE	D38133;AE004091;		norB PA0524	Nitric oxide reductase subunit B (EC 1.7.2.5) (NOR large subunit) (Nitric oxide reductase cytochrome b subunit)
P98008	NORB_PSEST	X53676;		norB	Nitric oxide reductase subunit B (EC 1.7.2.5) (NOR large subunit) (Nitric oxide reductase cytochrome b subunit)
O50651	NORC_HALHD	AB010889;		norC	Nitric oxide reductase subunit C (NOR small subunit) (Nitric oxide reductase cytochrome c subunit)
Q51662	NORC_PARDE	U28078;AB014090;		norC	Nitric oxide reductase subunit C (NOR small subunit) (Nitric oxide reductase cytochrome c subunit)
Q59646	NORC_PSEAE	D38133;AE004091;		norC PA0523	Nitric oxide reductase subunit C (NOR small subunit) (Nitric oxide reductase cytochrome c subunit)
Q52527	NORC_PSEST	X53676;		norC	Nitric oxide reductase subunit C (NOR small subunit) (Nitric oxide reductase cytochrome c subunit)
O06844	NORC_RHOS5	AF000233;CP000661;		norC Rsph17025_0970	Nitric oxide reductase subunit C (NOR small subunit) (Nitric oxide reductase cytochrome c subunit)
Q2FKF1	NORG_STAA3	CP000255;		norG SAUSA300_0110	HTH-type transcriptional regulator NorG
Q2YUS3	NORG_STAAB	AJ938182;		norG SAB0047	HTH-type transcriptional regulator NorG
Q2G1P1	NORG_STAA8	CP000253;		norG SAOUHSC_00064	HTH-type transcriptional regulator NorG
Q5HJR1	NORG_STAAC	CP000046;		norG SACOL0091	HTH-type transcriptional regulator NorG
Q99XA5	NORG_STAAM	BA000017;		norG SAV0108	HTH-type transcriptional regulator NorG
Q7A875	NORG_STAAN	BA000018;		norG SA0104	HTH-type transcriptional regulator NorG
Q9K4V0	NORR1_CUPNH	AJ278371;AY305378;		norR1 PHG246	Nitric oxide reductase transcription regulator NorR1
M0MK72	M0MK72_9EURY	AOMD01000015;		C449_05212	Nitric oxide reductase, NorZ apoprotein
M0BHU6	M0BHU6_9EURY	AOIQ01000017;		C479_10425	Nitric oxide reductase, NorZ apoprotein
M0AQM2	M0AQM2_9EURY	AOIP01000053;		C480_19077	Nitric oxide reductase, NorZ apoprotein
M0H7S6	M0H7S6_9EURY	AOLI01000014;		C455_06881	Nitric oxide reductase, NorZ apoprotein
