Entry	Entry name	Cross-reference (EMBL)	Cross-reference (GenBank)	Gene names	Protein names
P0AE22	APHA_ECOLI	U51210;X86971;U00006;U00096;AP009048;		aphA napA yjbP b4055 JW4015	Class B acid phosphatase (CBAP) (EC 3.1.3.2)
P07102	PPA_ECOLI	M58708;U00096;AP009048;X05471;S63811;		appA b0980 JW0963	Periplasmic AppA protein [Includes: Phosphoanhydride phosphohydrolase (EC 3.1.3.2) (pH 2.5 acid phosphatase) (AP); 4-phytase (EC 3.1.3.26)]
Q540U1	APHA_SALTM	AY125468;AY841758;		aphA	Class B acid phosphatase (CBAP) (EC 3.1.3.2)
P26976	PHON_SALTY	X63599;X59036;AE006468;		phoN STM4319	Non-specific acid phosphatase (NSAP) (EC 3.1.3.2)
P14924	PPA_ZYMMO	M24141;AE008692;		phoC ZMO0130	Acid phosphatase (EC 3.1.3.2)
P44009	APHA_HAEIN	L42023;L42023;Y07615;		aphA napA HI_0494/HI_0495	Class B acid phosphatase (CBAP) (EC 3.1.3.2)
O08430	APHA_SALTI	AJ237788;AL513382;AE014613;		aphA napA STY4445 t4155	Class B acid phosphatase (CBAP) (EC 3.1.3.2)
P58683	APHA_SALTY	AE006468;		aphA STM4249	Class B acid phosphatase (CBAP) (EC 3.1.3.2) (Non-specific acid phosphatase II)
C9R7B6	APHA_AGGAD	CP001733;		aphA D11S_0149	Class B acid phosphatase (CBAP) (EC 3.1.3.2)
A4W5G8	APHA_ENT38	CP000653;		aphA Ent638_0259	Class B acid phosphatase (CBAP) (EC 3.1.3.2)
P56527	APHA_PROMI			aphA napA	Class B acid phosphatase (CBAP) (EC 3.1.3.2) (Fragment)
P28581	PHOC_MORMO	X64444;AB035805;		phoC	Major phosphate-irrepressible acid phosphatase (HPAP) (EC 3.1.3.2)
D2TRT2	APHA_CITRI	FN543502;		aphA ROD_36361	Class B acid phosphatase (CBAP) (EC 3.1.3.2)
B5XXX7	APHA_KLEP3	CP000964;		aphA KPK_5233	Class B acid phosphatase (CBAP) (EC 3.1.3.2)
Q59544	APHA_MORMO	X78328;		aphA napA	Class B acid phosphatase (CBAP) (EC 3.1.3.2) (Minor phosphate-irrepressible acid phosphatase)
B4ET41	APHA_PROMH	AM942759;		aphA PMI0729	Class B acid phosphatase (CBAP) (EC 3.1.3.2)
P0AE23	APHA_SHIFL	AE005674;AE014073;		aphA SF4149 S3580	Class B acid phosphatase (CBAP) (EC 3.1.3.2)
Q934J6	PHON_SALTI	AF366353;AL513382;AE014613;		phoN STY4519 t4225	Non-specific acid phosphatase (NSAP) (EC 3.1.3.2)
Q99ZR9	Q99ZR9_STRP1	AE004092;CP000017;		M5005_Spy0835 SPy_1113	Class B acid phosphatase (EC 3.1.3.2) (Putative acid phosphatase (Class B)) (EC 3.1.3.2)
P26975	PHON_PROST	X64820;		phoN	Non-specific acid phosphatase (NSAP) (EC 3.1.3.2)
A6VP72	APHA_ACTSZ	CP000746;		aphA Asuc_1410	Class B acid phosphatase (CBAP) (EC 3.1.3.2)
C5BC46	APHA_EDWI9	CP001600;		aphA NT01EI_3833	Class B acid phosphatase (CBAP) (EC 3.1.3.2)
E3G2D1	APHA_ENTLS	CP002272;		aphA Entcl_4115	Class B acid phosphatase (CBAP) (EC 3.1.3.2)
E1W3A7	APHA_HAEP3	FQ312002;		aphA PARA_07400	Class B acid phosphatase (CBAP) (EC 3.1.3.2)
A6W230	APHA_MARMS	CP000749;		aphA Mmwyl1_3860	Class B acid phosphatase (CBAP) (EC 3.1.3.2)
A9MGN4	APHA_SALAR	CP000880;		aphA SARI_03429	Class B acid phosphatase (CBAP) (EC 3.1.3.2)
E8XMF0	APHA_RAHSY	CP002505;		aphA Rahaq_3102	Class B acid phosphatase (CBAP) (EC 3.1.3.2)
D3UWV6	APHA_XENBS	FN667741;		aphA XBJ1_0800	Class B acid phosphatase (CBAP) (EC 3.1.3.2)
P83378	BSP23_SERPL				Bacteriocin serracin-P 23 kDa subunit (Fragment)
Q8ZU79	SURE1_PYRAE	AE009441;		surE1 PAE2908	5'-nucleotidase SurE1 (EC 3.1.3.5) (Nucleoside 5'-monophosphate phosphohydrolase 1)
P0A840	SURE_ECOLI	L07942;U29579;U00096;AP009048;		surE ygbC b2744 JW2714	5'/3'-nucleotidase SurE (EC 3.1.3.5) (EC 3.1.3.6) (Exopolyphosphatase) (EC 3.6.1.11) (Nucleoside monophosphate phosphohydrolase) (Stationary-phase survival protein SurE)
P96112	SURE_THEMA	AE000512;Y10306;		surE TM_1662	5'-nucleotidase SurE (EC 3.1.3.5) (Nucleoside 5'-monophosphate phosphohydrolase)
Q9V1B5	Q9V1B5_PYRAB	AJ248284;HE613800;		PAB2021 PYRAB05120	Acid phosphatase related protein (PhoC-like acid phosphatase (EC 3.1.3.2) related protein)
A4WM82	A4WM82_PYRAR	CP000660;		Pars_1952	Stationary-phase survival protein SurE (EC 3.1.3.2)
W9BP12	W9BP12_KLEPN	FO834906;LK022716;		phoN BN49_2340 KpST82_1908	Acid phosphatase (EC 3.1.3.2)
D4VG63	D4VG63_9BACE	CBXG010000020;ADKP01000034;		BN890_17930 CW3_0078	Ser/Thr phosphatase family protein (Tartrate-resistant acid phosphatase type 5) (EC 3.1.3.2)
A0A061YFZ0	A0A061YFZ0_ECOLX	JFFM01000035;JFFK01000015;JFFL01000088;JJNV01000050;JJNT01000046;		aphA BU66_01005 BU67_22260 BU68_09890 DO98_12855 DP79_17805	Acid phosphatase (EC 3.1.3.2)
A0A037YQL4	A0A037YQL4_ECOLX	JENE01000040;JEND01000003;		aphA BC97_06820 BC99_11575	Class B acid phosphatase (EC 3.1.3.2)
J7Q6W0	J7Q6W0_ECOLX	HE964769;JFFJ01000082;		appA BN17_08411 BU65_24455	Phosphoanhydride phosphorylase (Phosphoanhydride phosphorylase pH 2.5 acid phosphatase periplasmic) (EC 3.1.3.2) (EC 3.1.3.26)
A0A066SNI4	A0A066SNI4_ECOLX	JFFM01000041;JJNV01000004;JMKH01000077;		BU68_11525 DH22_5184 DP79_12535	Phosphoanhydride phosphohydrolase (PH 2.5 acid phosphatase) (AP) (EC 3.1.3.2) (EC 3.1.3.26) (Phosphoanhydride phosphorylase)
C3SHH2	C3SHH2_ECOLX	EU891345;EU891346;EU891347;EU891348;EU891349;		ECs5037	Class B acid phosphatase (EC 3.1.3.2)
W8TB56	W8TB56_ECOLX	CP007265;CP007390;CP007391;CP007392;CP007393;CP007394;CCCP010000029;JHEZ01000052;JHEX01000019;		aphA BU34_17415 CF57_28435 CF58_01595 CF59_01645 CF60_01630 CF61_29135 DC22_06210 DC24_21765 PGD_03229	Class B acid phosphatase (EC 3.1.3.2)
A0A060UJP9	A0A060UJP9_STAAU	CCCA010000071;CCCE010000020;CCCI010000036;CCCL010000081;CCCM010000046;		BN965_7970 BN966_26050 BN967_13120 BN968_11370 BN969_28150	Acid phosphatase (EC 3.1.3.2)
A0A045HCL6	A0A045HCL6_MYCTX	CP007809;JKXT01000008;JKXS01000009;JKXQ01000021;JKXP01000007;JKXN01000008;JKXM01000017;JHAD01000070;JMEK01000042;		CH81_02384 CH82_02674 CH84_03853 CH85_02377 CH87_00956 CH88_01808 CO60_3099 EE54_11965 ER17_13680	Acid phosphatase (EC 3.1.3.2) (Uncharacterized protein)
A0A037VC39	A0A037VC39_HAEIF	JFZK01000015;JFZL01000009;JFZM01000015;		CK45_02255 CN10_01220 CN11_06165	Class B acid phosphatase (EC 3.1.3.2)
K1DNL3	K1DNL3_PSEAI	AKZH01000010;AXRR01000009;		P998_04931 PAE2_0156	Acid phosphatase (EC 3.1.3.2)
