Entry	Entry name	Cross-reference (EMBL)	Cross-reference (GenBank)	Gene names	Protein names
Q50925	HAO_NITEU	U04053;AL954747;AL954747;AL954747;		hao1 NE2044; hao2 NE0962; hao3 NE2339	Hydroxylamine oxidoreductase (HAO) (EC 1.7.2.6)
Q1PX48	Q1PX48_9BACT	CT573073;		hao kustc1061	Similar to hydroxylamine oxidoreductase hao (EC 1.7.3.4)
Q57142	C554_NITEU	U05951;U08288;AL954747;AL954747;AL954747;		cycA1 cycA hcy NE2337; cycA2 cycA NE2042; cycA3 cycA NE0960	Cytochrome c-554 (Cytochrome c554) (Hydroxylamine oxidoreductase-linked cytochrome)
D5MJG1	D5MJG1_9BACT	FP565575;		hao DAMO_2473	Similar to hydroxylamine oxidoreductase hao (EC 1.7.3.4)
Q1Q5N7	Q1Q5N7_9BACT	CT573071;		hao kuste4574	Similar to hydroxylamine oxidoreductase hao
C0QE93	C0QE93_DESAH	CP001087;		HRM2_00870	Hydroxylamine oxidoreductase (HAO) (EC 1.7.-.-)
B8FFJ6	B8FFJ6_DESAA	CP001322;		Dalk_2563	Hydroxylamine oxidoreductase (HAO)
G4T1T4	G4T1T4_META2	FO082060;		hao MEALZ_1830	Hydroxylamine oxidoreductase (EC 1.7.3.4)
V5C9Z3	V5C9Z3_9GAMM	AYLO01000015;		hao MGMO_15c00390	Hydroxylamine oxidoreductase Hao (EC 1.7.2.6)
S0FSR7	S0FSR7_9DELT	APJX01000010;		hao Dpo_10c01270	Hydroxylamine oxidoreductase Hao (EC 1.7.2.6)
Q1PYC5	Q1PYC5_9BACT	CT573072;		hao kustd1340	Similar to hydroxylamine oxidoreductase hao (EC 1.7.3.-)
Q1PW30	Q1PW30_9BACT	CT573073;		hao kustc0694	Similar to hydroxylamine oxidoreductase (Hao) (EC 1.7.3.4)
Q1Q7J1	Q1Q7J1_9BACT	CT030148;		hao kusta0043	Similar to hydroxylamine oxidoreductase hao
Q1Q6J9	Q1Q6J9_9BACT	CT573071;		hao kuste2457	Similar to hydroxylamine oxidoreductase hao (EC 1.7.3.4)
B8FGM8	B8FGM8_DESAA	CP001322;		Dalk_3570	Hydroxylamine oxidoreductase (HAO)
B8FAX6	B8FAX6_DESAA	CP001322;		Dalk_2369	Hydroxylamine oxidoreductase (HAO)
Q1Q6L6	Q1Q6L6_9BACT	CT573071;		hao kuste2479	Similar to copper oxidase and hydroxylamine oxidoreductase (Fusion protein) (EC 1.7.2.1) (EC 1.7.3.4)
A9ZRZ6	A9ZRZ6_9PLAN	AB365070;BAFH01000004;		hao KSU1_D0438	Hydroxylamine oxidoreductase
B9V950	B9V950_9BACT	FJ493754;FJ493758;FJ493759;FJ493764;FJ493770;FJ493773;		hao	Hydroxylamine oxidoreductase (Fragment)
A9QPL4	A9QPL4_METI4	EU223930;		hao	Putative hydroxylamine oxidoreductase
I0K189	I0K189_9BACT	CAHT01000107;		hao MFUM_970027	Putative hydroxylamine oxidoreductase
Q0ADN0	Q0ADN0_NITEC	CP000450;CP000450;		Neut_1793 Neut_2335	Aerobic hydroxylamine oxidoreductase (EC 1.7.-.-)
Q0AFG9	Q0AFG9_NITEC	CP000450;		Neut_1672	Aerobic hydroxylamine oxidoreductase (EC 1.7.-.-)
Q3JCP2	Q3JCP2_NITOC	CP000127;		Noc_0892	Aerobic hydroxylamine oxidoreductase (EC 1.7.-.-)
G1EHL3	G1EHL3_NITER	JN099310;		hao	Hao (Fragment)
M5DCM0	M5DCM0_9GAMM	HF674728;		hao	Hydroxylamine oxidoreductase
