Entry	Entry name	Cross-reference (EMBL)	Cross-reference (GenBank)	Gene names	Protein names
D5MGQ8	D5MGQ8_9BACT	FP565575;		norZ DAMO_1889	Nitric-oxide reductase, qNOR-like (NorZ) (EC 1.7.99.7)
B3Y963	B3Y963_GEOSE	AB450501;		norZ	Nitric oxide reductase
A4IL19	A4IL19_GEOTN	CP000557;		norZ GTNG_0643	Nitric oxide reductase
J5HQ95	J5HQ95_9PAST	ALJP01000009;		norZ HMPREF1128_1761	Nitric oxide reductase, NorZ
D3IIG8	D3IIG8_9BACT	GG740072;		norZ HMPREF0670_01137	Nitric oxide reductase, NorZ
I3BCV3	I3BCV3_HAEPA	AJTC01000037;		norZ HMPREF1119_1398	Nitric oxide reductase, NorZ
I2J437	I2J437_HAEPA	AJMW01000055;		norZ HMPREF1118_1478	Nitric oxide reductase, NorZ
T0CI20	T0CI20_9DELT	AUMC01000003;		norZ M902_2484	Nitric oxide reductase, NorZ
J5UZQ2	J5UZQ2_9FLAO	ALNN01000062;		norZ HMPREF1154_0315	Nitric oxide reductase, NorZ
J4XBG0	J4XBG0_9PROT	ALJJ01000009;		norZ HMPREF1139_0467	Nitric oxide reductase, NorZ
A4G197	A4G197_HERAR	CU207211;		norZ HEAR0048	Nitric oxide reductase
Q39PX6	Q39PX6_GEOMG	CP000148;		norZ Gmet_3493	Nitric oxide reductase, cytochrome b
B5EFD8	B5EFD8_GEOBB	CP001124;		norZ Gbem_3901	Nitric oxide reductase, cytochrome b
A1V632	A1V632_BURMS	CP000526;		BMASAVP1_A2379	Putative nitric oxide reductase norZ
A3NXB8	A3NXB8_BURP0	CP000572;		BURPS1106A_2738	Putative nitric oxide reductase NorZ
A3MLU9	A3MLU9_BURM7	CP000548;		BMA10247_1694	Putative nitric oxide reductase norZ
Q62LK4	Q62LK4_BURMA	CP000010;		BMA0633	Nitric oxide reductase norZ, putative
K9YN67	K9YN67_CYASC	CP003940;		Cyast_2435	Nitric oxide reductase, NorZ apoprotein
F4GR23	F4GR23_PUSST	CP002663;		PT7_2183	Nitric oxide reductase NorB/NorZ-like protein
K9Z803	K9Z803_CYAAP	CP003947;		Cyan10605_3228	Nitric oxide reductase, NorZ apoprotein
F4GMY3	F4GMY3_PUSST	CP002663;		PT7_0538	Nitric oxide reductase NorB/NorZ-like protein
A2SA85	A2SA85_BURM9	CP000546;		BMA10229_A2908	Putative nitric oxide reductase norZ
E6XCC1	E6XCC1_CELAD	CP002453;		Celal_3930	Nitric oxide reductase, NorZ apoprotein
D5MIZ0	D5MIZ0_9BACT	FP565575;		DAMO_2437	Putative Cytochrome c oxidase subunit I nitric oxide reductase-like (NorZ)
E4NUW2	E4NUW2_HALBP	CP001692;AOHT01000020;		Hbor_34300 C499_06795	Nitric oxide reductase, NorZ apoprotein
A3PWR0	A3PWR0_MYCSJ	CP000580;		Mjls_1539	Nitric oxide reductase, NorZ apoprotein
M0MK72	M0MK72_9EURY	AOMD01000015;		C449_05212	Nitric oxide reductase, NorZ apoprotein
M0BHU6	M0BHU6_9EURY	AOIQ01000017;		C479_10425	Nitric oxide reductase, NorZ apoprotein
M0AQM2	M0AQM2_9EURY	AOIP01000053;		C480_19077	Nitric oxide reductase, NorZ apoprotein
M0H7S6	M0H7S6_9EURY	AOLI01000014;		C455_06881	Nitric oxide reductase, NorZ apoprotein
M0M9Z8	M0M9Z8_HALMO	AOMC01000125;		C448_10577	Nitric oxide reductase, NorZ apoprotein
M0HK41	M0HK41_9EURY	AOLK01000019;		C453_12621	Nitric oxide reductase, NorZ apoprotein
M0N7M8	M0N7M8_9EURY	AOMF01000152;		C451_09660	Nitric oxide reductase, NorZ apoprotein
M0MV31	M0MV31_9EURY	AOME01000087;		C450_18944	Nitric oxide reductase, NorZ apoprotein
M0A5N3	M0A5N3_9EURY	AOIL01000019;		C484_07201	Nitric oxide reductase, NorZ apoprotein
A4WI80	A4WI80_PYRAR	CP000660;		Pars_0502	Nitric oxide reductase, NorZ apoprotein
A3MXF7	A3MXF7_PYRCJ	CP000561;		Pcal_1908	Nitric oxide reductase, NorZ apoprotein
H1LLB6	H1LLB6_9PAST	AGRK01000002;		HMPREF9096_00051	Nitric oxide reductase, NorZ
F3P6I4	F3P6I4_9ACTO	AFBL01000014;		HMPREF9056_00645	Putative nitric oxide reductase, NorZ
J5W131	J5W131_9PORP	ALKJ01000003;		norZ HMPREF1323_0464	Nitric oxide reductase, NorZ
B7CM81	B7CM81_BURPE	ACCE01000003;		BUC_3000	Putative nitric oxide reductase NorZ
U2IXG0	U2IXG0_9PORP	AWUX01000051;		HMPREF1556_00828	Nitric oxide reductase, NorZ
X8E063	X8E063_MYCXE	JAOB01000011;		norZ I553_9454	Nitric oxide reductase domain protein (EC 1.7.2.5)
R0CS37	R0CS37_RALPI	APMQ01000002;		OR214_00958	Nitric oxide reductase, NorZ apoprotein
I9E082	I9E082_9FLAO	AJZR01000040;		norZ HMPREF1321_1370	Nitric oxide reductase, NorZ
A0A072NQA7	A0A072NQA7_BACAZ	JJRY01000004;		M670_01459	Nitric oxide reductase, NorZ apoprotein (EC 1.7.2.5)
A0A072NTY5	A0A072NTY5_BACAZ	JJRY01000001;		M670_00384	Nitric oxide reductase, NorZ apoprotein (EC 1.7.2.5)
