Entry	Entry name	Cross-reference (EMBL)	Cross-reference (GenBank)	Gene names	Protein names
G2J090	G2J090_PSEUL	AP012224;		nosZ NH8B_3640	Nitrous-oxide reductase NosZ
I0AHV3	I0AHV3_IGNAJ	CP003418;		nosZ IALB_0848	Nitrous oxide reductase protein NosZ
F7ZJT6	F7ZJT6_ROSLO	CP002623;		nosZ RLO149_c031550	Nitrous-oxide reductase NosZ (EC 1.7.2.4)
Q7M9H4	Q7M9H4_WOLSU	BX571659;		NOSZ WS0916	NOSZ PROTEIN
I4EBE3	I4EBE3_METSZ	FO000002;		nosZ SC2p2_01430	Nitrous oxide reductase NosZ (EC 1.7.99.6)
I0HQH5	I0HQH5_RUBGI	AP012320;		nosZ RGE_19210	Nitrous oxide reductase, NosZ (EC 1.7.2.4)
H9A6G9	H9A6G9_9PROT	JN850958;		nosZ	NosZ (EC 1.7.2.4) (Fragment)
A9YPL1	A9YPL1_9BACT	EU271686;EU271700;EU271702;EU271704;EU271734;EU271746;		nosZ	NosZ (Fragment)
J9XYP7	J9XYP7_9RHIZ	JX394219;		nosZ	NosZ (Fragment)
P19573	NOSZ_PSEST	X53676;		nosZ	Nitrous-oxide reductase (EC 1.7.2.4) (N(2)OR) (N2O reductase)
F8SHH0	F8SHH0_9BACT	HQ621703;HQ621706;HQ621707;HQ621708;		nosZ	NosZ (Fragment)
F8SHH8	F8SHH8_9BACT	HQ621710;HQ621714;HQ621715;		nosZ	NosZ (Fragment)
F8SHG3	F8SHG3_9BACT	HQ621700;HQ621702;HQ621705;		nosZ	NosZ (Fragment)
C1JK91	C1JK91_9GAMM	FJ686174;		nosZ	NosZ (Fragment)
C0KTI7	C0KTI7_9BACT	FJ626872;		nosZ	NosZ (Fragment)
C0KTI8	C0KTI8_9BACT	FJ626873;		nosZ	NosZ (Fragment)
C0KTJ3	C0KTJ3_9BACT	FJ626881;		nosZ	NosZ (Fragment)
C0KTJ0	C0KTJ0_9BACT	FJ626876;		nosZ	NosZ (Fragment)
A9YPM4	A9YPM4_9BACT	EU271699;EU271733;EU271745;		nosZ	NosZ (Fragment)
A9YPL5	A9YPL5_9BACT	EU271690;EU271696;EU271739;		nosZ	NosZ (Fragment)
A9YPL8	A9YPL8_9BACT	EU271693;EU271694;EU271701;EU271731;		nosZ	NosZ (Fragment)
P94127	NOSZ_ACHCY	X94977;Y15161;AF047429;		nosZ	Nitrous-oxide reductase (EC 1.7.2.4) (N(2)OR) (N2O reductase)
Q51705	NOSZ_PARDE	X74792;AJ010260;		nosZ	Nitrous-oxide reductase (EC 1.7.2.4) (N(2)OR) (N2O reductase)
Q59105	NOSZ_CUPNH	X65278;AY305378;		nosZ PHG252	Nitrous-oxide reductase (EC 1.7.2.4) (N(2)OR) (N2O reductase)
Q8FX16	NOSZ_BRUSU	AE014292;CP002998;		nosZ BRA0275 BS1330_II0272	Nitrous-oxide reductase (EC 1.7.2.4) (N(2)OR) (N2O reductase)
Q59746	NOSZ_RHIME	U47133;AE006469;		nosZ RA0643 SMa1182	Nitrous-oxide reductase (EC 1.7.2.4) (N(2)OR) (N2O reductase)
Q9K4V0	NORR1_CUPNH	AJ278371;AY305378;		norR1 PHG246	Nitric oxide reductase transcription regulator NorR1
