Entry	Entry name	Cross-reference (EMBL)	Cross-reference (GenBank)	Gene names	Protein names
P24295	DHE2_CLOSY	Z11747;		gdh	NAD-specific glutamate dehydrogenase (NAD-GDH) (EC 1.4.1.2)
P96110	DHE3_THEMA	Y09925;AE000512;		gdhA gdh TM_1015	Glutamate dehydrogenase (GDH) (EC 1.4.1.3)
P80319	DHE3_PYRFU	M97860;AE009950;		gdhA gdh PF1602	Glutamate dehydrogenase (GDH) (EC 1.4.1.3)
A0R1C2	DHE2_MYCS2	CP000480;CP001663;		gdh MSMEG_4699 MSMEI_4582	NAD-specific glutamate dehydrogenase (NAD-GDH) (EC 1.4.1.2) (NAD(+)-dependent glutamate dehydrogenase)
O53203	DHE2_MYCTU	AL123456;		gdh Rv2476c	NAD-specific glutamate dehydrogenase (NAD-GDH) (EC 1.4.1.2) (NAD(+)-dependent glutamate dehydrogenase)
O74024	DHE3_THEPR	D87814;		gdhA gdh	Glutamate dehydrogenase (GDH) (EC 1.4.1.3)
B2RKJ1	DHE2_PORG3	L07290;AP009380;		gdh PGN_1367	NAD-specific glutamate dehydrogenase (NAD-GDH) (EC 1.4.1.2) (Surface-associated protein PGAG1)
P31026	DHE4_CORGL	X59404;X72855;BA000036;BX927154;		gdh Cgl2079 cg2280	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)
Q9S1F9	DHE4_PSYT1	AJ010746;		gdhA gdh	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)
Q8RQP4	DHE4_COREF	AB082375;BA000035;		gdh CE1982	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)
P0C934	DHE2_PORGI	AE015924;		gdh PG_1232	NAD-specific glutamate dehydrogenase (NAD-GDH) (EC 1.4.1.2) (Surface-associated protein PGAG1)
Q47950	DHE3_PYRAB	AJ248284;L19116;HE613800;		gdhA gdh PYRAB05690 PAB0391	Glutamate dehydrogenase (GDH) (EC 1.4.1.3)
P0CL73	DHE3_PYRHO	BA000001;		gdhA gdh PH1593	Glutamate dehydrogenase (GDH) (EC 1.4.1.3)
P39633	DHE2_BACSU	X73124;AB194695;AL009126;		rocG gudA yweB BSU37790 ipa-75d	Catabolic NAD-specific glutamate dehydrogenase RocG (NAD-GDH) (EC 1.4.1.2) (Glutamate dehydrogenase) (GlutDH) (Trigger enzyme RocG)
P0CL72	DHE3_PYRHR	AF035935;		gdhA gdh	Glutamate dehydrogenase (GDH) (EC 1.4.1.3)
P00370	DHE4_ECOLI	J01615;K02499;U00096;AP009048;		gdhA b1761 JW1750	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)
Q9HZE0	DHE2_PSEAE	AF315586;AE004091;		gdhB PA3068	NAD-specific glutamate dehydrogenase (NAD-GDH) (EC 1.4.1.2) (NAD(+)-dependent glutamate dehydrogenase)
P94316	DHE2_BACFR	U78108;AP006841;		gdhB BF3635	NAD-specific glutamate dehydrogenase (NAD-GDH) (EC 1.4.1.2) (NADH-dependent glutamate dehydrogenase)
Q09115	DHE3_PYRWO			gdhA gdh	Glutamate dehydrogenase (GDH) (EC 1.4.1.3) (Fragment)
P50735	GUDB_BACSU	L47648;AL009126;		gudB ypcA BSU22960	Cryptic catabolic NAD-specific glutamate dehydrogenase GudB (NAD-GDH) (EC 1.4.1.2)
P28997	DHE2_PEPAS	M76403;			NAD-specific glutamate dehydrogenase (NAD-GDH) (EC 1.4.1.2)
O59650	DHE3_THEKO	D89911;AP006878;		gdhA TK1431	Glutamate dehydrogenase (GDH) (EC 1.4.1.3)
P95544	DHE4_PRERU	U82240;		gdhA	NAD(P)-specific glutamate dehydrogenase (NAD(P)-GDH) (EC 1.4.1.2) (EC 1.4.1.3) (NAD(P)H-dependent glutamate dehydrogenase)
P29051	DHE2_HALSI	X63837;AY840088;		gdhX gdhA	NAD-specific glutamate dehydrogenase A (NAD-GDH A) (EC 1.4.1.2)
P94598	DHE3_BACTN	U82241;AE015928;		gdhA BT_1970	Glutamate dehydrogenase (GDH) (EC 1.4.1.3) (NAD(P)H-utilizing glutamate dehydrogenase)
Q56304	DHE3_THELN	L19995;CP006670;		gdhA OCC_00135	Glutamate dehydrogenase (GDH) (EC 1.4.1.3)
P27346	DHE2_PEPDI	M65250;		gluD	NAD-specific glutamate dehydrogenase (NAD-GDH) (EC 1.4.1.2)
Q5HHC7	DHE2_STAAC	CP000046;		gluD SACOL0961	NAD-specific glutamate dehydrogenase (NAD-GDH) (EC 1.4.1.2)
Q99VD0	DHE2_STAAM	BA000017;		gluD gudB SAV0958	NAD-specific glutamate dehydrogenase (NAD-GDH) (EC 1.4.1.2)
Q7A6H8	DHE2_STAAN	BA000018;		gluD gudB SA0819	NAD-specific glutamate dehydrogenase (NAD-GDH) (EC 1.4.1.2)
Q6GID0	DHE2_STAAR	BX571856;		gluD SAR0920	NAD-specific glutamate dehydrogenase (NAD-GDH) (EC 1.4.1.2)
Q6GAW8	DHE2_STAAS	BX571857;		gluD SAS0828	NAD-specific glutamate dehydrogenase (NAD-GDH) (EC 1.4.1.2)
Q7A1B9	DHE2_STAAW	BA000033;		gluD gudB MW0840	NAD-specific glutamate dehydrogenase (NAD-GDH) (EC 1.4.1.2)
P80053	DHE2_SULSO	AE006641;		gdhA-2 gdhA SSO1907	Glutamate dehydrogenase 2 (GDH-2) (EC 1.4.1.3)
Q9YC65	DHE3_AERPE	BA000002;		gdhA APE_1386.1	Glutamate dehydrogenase (GDH) (EC 1.4.1.3)
Q47951	DHE3_PYREN	L12408;		gdhA	Glutamate dehydrogenase (GDH) (EC 1.4.1.3)
Q53199	DHE3_RHISN	Z68203;U00090;		NGR_a01340 y4uF	Probable glutamate dehydrogenase (GDH) (EC 1.4.1.3)
P0DMG4	DHE42_HALSA	AE004437;		gdhB VNG_0161G	NADP-specific glutamate dehydrogenase B (NADP-GDH B) (EC 1.4.1.4)
P0DMG3	DHE42_HALSI	AY840087;		gdhB	NADP-specific glutamate dehydrogenase B (NADP-GDH B) (EC 1.4.1.4)
P43793	DHE4_HAEIN	L42023;		gdhA HI_0189	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)
Q9ZKD8	DHE4_HELPJ	AE001439;		gdhA jhp_1001	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)
P55990	DHE4_HELPY	AE000511;		gdhA HP_0380	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)
Q8Z6F6	DHE4_SALTI	AL513382;AE014613;		gdhA STY1815 t1178	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)
P15111	DHE4_SALTY	M24021;AE006468;		gdhA STM1299	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)
P39475	DHE4_SULSH	X73990;		gdhA	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4) (Fragment)
P54386	DHE4_SYNY3	X77454;BA000022;		gdhA slr0710	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)
P14657	DHE4_UNKP	X16399;		gdhA	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)
Q977X9	Q977X9_9EURY	AF251788;			Glutamate dehydrogenase
Q977U6	Q977U6_HALME	AJ315142;		gdh-1	Glutamate dehydrogenase
U6EAN6	U6EAN6_9EURY	HG425166;		gdh MBMB1_0817	Glutamate dehydrogenase
Q96YC6	Q96YC6_SULTO	BA000023;		gdh STK_22410	Glutamate dehydrogenase
Q0W8B3	Q0W8B3_UNCMA	AM114193;		gdh-1 UNCMA_27970 LRC421	Glutamate dehydrogenase
Q0W8B2	Q0W8B2_UNCMA	AM114193;		gdh-2 UNCMA_27960 LRC422	Glutamate dehydrogenase
C9QI10	C9QI10_VIBOR	ACZV01000005;AFWH01000016;		VIA_002976 VIOR3934_01863	NAD-specific glutamate dehydrogenase (NAD-specific glutamate dehydrogenase large form) (EC 1.4.1.2)
K6W295	K6W295_ACIRA	APQF01000014;BAGY01000051;		gdh ACRAD_51_00170 F939_02192	Glutamate dehydrogenase
K6V977	K6V977_ACIRA	APQF01000015;BAGY01000002;		gdh ACRAD_02_01210 F939_02471	Glutamate dehydrogenase
Q2V1X4	Q2V1X4_STRCR	AB199451;AB199518;AB199519;		gdh	Glutamate dehydrogenase (Fragment)
Q2V228	Q2V228_STRMT	EU850785;AB199457;AB199464;		gdh	Glucose-6-phosphate 1-dehydrogenase (Glutamate dehydrogenase) (Fragment)
Q2V236	Q2V236_STRMT	EU850786;EU850788;EU850790;AB199456;AB199462;AB199463;		gdh	Glucose-6-phosphate 1-dehydrogenase (Glutamate dehydrogenase) (Fragment)
Q2V232	Q2V232_STRMT	EU850793;AB199460;		gdh	Glucose-6-phosphate 1-dehydrogenase (Glutamate dehydrogenase) (Fragment)
K9JM95	K9JM95_STRUB	GU434974;GU434991;GU434995;GU434999;GU435024;GU435033;GU435038;GU435039;GU435041;GU435053;GU435054;GU435056;GU435057;GU435067;GU435082;GU435089;GU435109;		gdh	NADP-specific glutamate dehydrogenase (Fragment)
K9JJV2	K9JJV2_STRUB	GU434975;GU434980;GU434981;GU434982;GU434984;GU434985;GU434987;GU434993;GU435003;GU435006;GU435009;GU435010;GU435014;GU435018;GU435019;GU435021;GU435023;GU435026;GU435028;GU435029;GU435030;GU435034;GU435035;GU435036;GU435037;GU435040;GU435042;GU435044;GU435048;GU435050;GU435058;GU435062;GU435064;GU435065;GU435066;GU435068;GU435070;GU435076;GU435078;GU435079;GU435080;GU435081;GU435084;GU435085;GU435086;GU435087;GU435090;GU435092;GU435093;GU435094;GU435095;GU435096;GU435098;GU435099;GU435100;GU435102;GU435104;GU435106;GU435107;GU435108;GU435110;GU435112;		gdh	NADP-specific glutamate dehydrogenase (Fragment)
K9JJY5	K9JJY5_STRUB	GU434976;GU434994;GU434998;GU435001;GU435027;GU435046;GU435063;GU435073;GU435103;GU435111;		gdh	NADP-specific glutamate dehydrogenase (Fragment)
K9JM71	K9JM71_STRUB	GU434979;GU434997;GU435000;GU435004;GU435007;GU435008;GU435012;GU435013;GU435032;GU435043;GU435052;GU435069;GU435071;GU435072;GU435088;GU435097;GU435101;		gdh	NADP-specific glutamate dehydrogenase (Fragment)
K9JL20	K9JL20_STRUB	GU434990;GU434992;GU435031;GU435060;		gdh	NADP-specific glutamate dehydrogenase (Fragment)
K9JJT9	K9JJT9_STRUB	GU434973;GU434983;GU434986;GU434988;GU434989;GU434996;GU435002;GU435005;GU435011;GU435015;GU435017;GU435020;GU435049;GU435055;GU435059;GU435074;GU435091;		gdh	NADP-specific glutamate dehydrogenase (Fragment)
K9JM25	K9JM25_STRUB	GU434972;GU434977;GU434978;GU435016;GU435025;GU435051;GU435061;		gdh	NADP-specific glutamate dehydrogenase (Fragment)
U0EB13	U0EB13_9NOCA	AVCO01000052;AVCO01000040;		N806_03880 N806_11920	NAD-glutamate dehydrogenase
D5XVQ2	D5XVQ2_MYCTX	DS985134;JLDA01000003;		BM96_00489 TBDG_01292	NAD-dependent glutamate dehydrogenase Gdh (NAD-dependent glutamate dehydrogenase gdh)
A0A045I8N5	A0A045I8N5_MYCTX	CP007809;JKXS01000009;JKXQ01000019;JKXP01000007;JKXN01000007;JKXM01000017;JMEK01000059;		CH82_02569 CH84_03748 CH85_02272 CH87_00851 CH88_01703 EE54_15610 ER17_13140	NAD-dependent glutamate dehydrogenase Gdh (NAD-glutamate dehydrogenase)
Q2V1Z8	Q2V1Z8_STROR	AB199493;AB199494;		gdh	Glutamate dehydrogenase (Fragment)
Q2V213	Q2V213_STROR	AB199468;AB199479;		gdh	Glutamate dehydrogenase (Fragment)
Q2V1Z6	Q2V1Z6_STROR	AB199495;AB199496;AB199497;		gdh	Glutamate dehydrogenase (Fragment)
Q2V226	Q2V226_STROR	EU850795;EU850796;EU850797;AB199448;AB199466;AB199467;AB199469;AB199470;AB199471;AB199472;AB199473;AB199474;AB199475;AB199476;AB199477;AB199478;AB199480;AB199481;AB199482;AB199484;AB199485;AB199486;AB199487;AB199488;AB199489;AB199490;AB199491;AB199498;AB199500;AB199502;AB199503;AB199504;AB199506;AB199507;		gdh	Glucose-6-phosphate 1-dehydrogenase (Glutamate dehydrogenase) (Fragment)
D5ZH62	D5ZH62_MYCTX	DS986683;JLCV01000007;		BO01_01285 TBJG_00998	NAD-dependent glutamate dehydrogenase Gdh (NAD-dependent glutamate dehydrogenase gdh)
D6FJ37	D6FJ37_MYCTX	GG663498;JLCU01000015;		BO02_01381 TBNG_04061	NAD-dependent glutamate dehydrogenase Gdh (NAD-dependent glutamate dehydrogenase gdh)
Q2V1U5	Q2V1U5_STRCV	AB199454;AB199547;		gdh	Glutamate dehydrogenase (Fragment)
A3H2C3	A3H2C3_VIBCL	AAWE01000079;ACHZ01000017;		A5E_1785 VCE_002777	NAD-specific glutamate dehydrogenase large (EC 1.4.1.2) (Uncharacterized protein)
K5Z242	K5Z242_9PSED	AMSL01000104;AMSL01000074;		C211_13140 C211_18809	NAD-glutamate dehydrogenase
D6FYK6	D6FYK6_9MYCO	GG663503;JLCY01000006;		BM98_02544 TBOG_03014	NAD-dependent glutamate dehydrogenase Gdh (NAD-dependent glutamate dehydrogenase gdh)
Q2V1V7	Q2V1V7_STRAP	AB199534;AB199535;AB199539;AB199541;AB199542;AB199543;AB199544;AB199545;		gdh	Glutamate dehydrogenase (Fragment)
Q2V1W0	Q2V1W0_STRAP	AB199531;AB199532;		gdh	Glutamate dehydrogenase (Fragment)
Q2V1V9	Q2V1V9_STRAP	AB199527;AB199533;		gdh	Glutamate dehydrogenase (Fragment)
Q2V1W3	Q2V1W3_STRAP	AB199528;AB199529;AB199530;		gdh	Glutamate dehydrogenase (Fragment)
Q2V1W8	Q2V1W8_STRPA	AB199520;AB199524;AB199525;		gdh	Glutamate dehydrogenase (Fragment)
A0A045I4X2	A0A045I4X2_9MYCO	JKXR01000003;JKXO01000008;		CH83_02551 CH86_03702	NAD-dependent glutamate dehydrogenase Gdh
K1DKW8	K1DKW8_PSEAI	AKZH01000059;AXRR01000003;		gdhB P998_01224 PAE2_1799	NAD-dependent glutamate dehydrogenase (NAD-specific glutamate dehydrogenase)
D5Y565	D5Y565_MYCTX	DS985157;JLCX01000010;		BM99_02567 TBEG_01286	NAD-dependent glutamate dehydrogenase Gdh (NAD-dependent glutamate dehydrogenase gdh)
E6YNL9	E6YNL9_9RHIZ	FN645467;AHPK01000014;		BARRO_130101 O99_00798	Uncharacterized protein
Q2WCS3	Q2WCS3_LACPN	AJ966385;AJ966386;		gdh	Glutamate dehydrogenase (Fragment)
