Entry	Entry name	Cross-reference (EMBL)	Cross-reference (GenBank)	Gene names	Protein names
P09152	NARG_ECOLI	X16181;X01164;M11586;U00096;AP009048;X15996;L36649;		narG bisD narC b1224 JW1215	Respiratory nitrate reductase 1 alpha chain (EC 1.7.99.4) (Nitrate reductase A subunit alpha) (Quinol-nitrate oxidoreductase subunit alpha)
I3R9M9	NARG_HALMT	AJ621880;CP001870;AOLO01000001;		narG HFX_5104 C439_00690	Respiratory nitrate reductase subunit alpha (EC 1.7.99.4) (Nitrate reductase alpha chain)
P42175	NARG_BACSU	Z49884;X91819;X85014;AL009126;		narG BSU37280	Nitrate reductase alpha chain (EC 1.7.99.4)
B6JBW2	B6JBW2_OLICO	CP001196;CP002826;		narG OCA5_c29160 OCAR_5043	Nitrate reductase, alpha subunit (EC 1.7.99.4) (Respiratory nitrate reductase alpha chain NarG) (EC 1.7.99.4)
Q65J00	Q65J00_BACLD	CP000002;AE017333;		narG BL01172 BLi02074	Nitrate reductase (Alpha subunit) (Nitrate reductase alpha subunit NarG) (EC 1.7.99.4)
P11349	NARH_ECOLI	M20147;U00096;AP009048;X16181;		narH b1225 JW1216	Respiratory nitrate reductase 1 beta chain (EC 1.7.99.4) (Nitrate reductase A subunit beta) (Quinol-nitrate oxidoreductase subunit beta)
P11350	NARI_ECOLI	M20147;U00096;AP009048;		narI chlI b1227 JW1218	Respiratory nitrate reductase 1 gamma chain (EC 1.7.99.4) (Cytochrome B-NR) (Nitrate reductase A subunit gamma) (Quinol-nitrate oxidoreductase subunit gamma)
P85097	NARG_BRASZ			narG	Respiratory nitrate reductase alpha chain (EC 1.7.99.4) (Respiratory membrane-bound nitrate reductase subunit alpha) (Fragments)
F7WW34	F7WW34_MYCTD	CP001642;CP002885;		narG CCDC5180_1066 CFBR_1242	Putative respiratory nitrate reductase alpha chain NarG (Respiratory nitrate reductase subunit alpha NarG)
P9WJQ3	NARG_MYCTU	AL123456;		narG Rv1161	Nitrate reductase alpha subunit (EC 1.7.99.4)
F8JKL8	F8JKL8_STREN	CP003229;FQ859184;		narG SCAT_p1428 SCATT_p02980	Nitrate reductase (Alpha subunit) (EC 1.7.99.4) (Nitrate reductase alpha chain NarG3)
H8F0H4	H8F0H4_MYCTE	AP012340;JLBG01000002;		narG ERDMAN_1304 Q643_01216	Respiratory nitrate reductase alpha chain NarG (Respiratory nitrate reductase subunit alpha) (EC 1.7.99.4)
P9WJQ2	NARG_MYCTO	AE000516;		narG MT1198	Nitrate reductase alpha subunit (EC 1.7.99.4)
I7G6X6	I7G6X6_MYCS2	CP001663;		narG MSMEI_5008	Nitrate reductase alpha chain NarG2 (EC 1.7.99.4)
M1TFP1	M1TFP1_BACIU	CP003329;		narG BSU6051_37280	Nitrate reductase alpha subunit NarG (EC 1.7.99.4)
